tanggal,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,Sembuh (baru),Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),Meninggal (baru),Meninggal Dunia,Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),
5-Mar,0,0,0,2,2,100.00%,0,0,0.00%,,0,0,0.00%,,,,,388,388,371,2,15,,,,#VALUE!,,,,,194,194,#VALUE!,0.52%,#VALUE!,#VALUE!,,,,,
6-Mar,2,0,2,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,,,450,450,422,4,24,,,,62,,,,,112.5,112.5,31,0.89%,3.77%,100.00%,,,,,
7-Mar,0,0,0,4,4,100.00%,0,0,0.00%,,0,0,0.00%,,,,,454,454,422,4,28,,,,4,,,,,113.5,113.5,#DIV/0!,0.88%,0.00%,0.00%,,,,,
8-Mar,2,1,1,6,6,100.00%,0,0,0.00%,,0,0,0.00%,,,,,483,483,445,6,32,,,,29,,,,,80.5,80.5,14.5,1.24%,8.00%,50.00%,,,,,
9-Mar,13,7,6,19,19,100.00%,0,0,0.00%,,0,0,0.00%,,,,,543,543,487,19,37,,,,60,,,,,28.58,28.58,4.62,3.50%,23.64%,216.67%,,,,,
10-Mar,8,5,3,27,27,100.00%,0,0,0.00%,,0,0,0.00%,,,,,694,694,648,27,19,,,,151,,,,,25.7,25.7,18.88,3.89%,4.73%,42.11%,,,,,
12-Mar,0,0,0,34,27,79.41%,1,3,8.82%,42.86%,2,4,11.76%,57.14%,,,,862,862,811,34,17,,,,168,,,,,25.35,25.35,#DIV/0!,3.94%,#REF!,#REF!,,,,,
13-Mar,35,,,69,60,86.96%,2,5,7.25%,55.56%,0,4,5.80%,44.44%,,,,1005,1005,917,69,19,,,,143,,,,4,14.57,14.57,4.09,6.87%,24.82%,102.94%,9.72%,,,,
14-Mar,27,,,96,83,86.46%,3,8,8.33%,61.54%,1,5,5.21%,38.46%,,,,1205,1205,1109,96,0,,,,200,,,,4,12.55,12.55,7.41,7.97%,12.33%,39.13%,11.26%,,,,
15-Mar,21,,,117,104,88.89%,0,8,6.84%,61.54%,0,5,4.27%,38.46%,,,,1293,1293,1167,117,9,,,,88,,,,5,11.05,11.05,4.19,9.05%,26.58%,21.88%,12.63%,,,,
16-Mar,17,,,134,121,90.30%,0,8,5.97%,61.54%,0,5,3.73%,38.46%,,,,1230,1230,1083,134,13,,,,,,,,5,9.18,9.18,0,10.89%,,14.53%,14.94%,,,,
17-Mar,38,,,172,156,90.70%,1,9,5.23%,56.25%,2,7,4.07%,43.75%,,,,1372,1372,1178,172,22,,,,120,,,,5,7.98,7.98,3.16,12.54%,28.57%,28.36%,16.78%,,,,
18-Mar,55,,,227,197,86.78%,2,11,4.85%,36.67%,12,19,8.37%,63.33%,,,,1592,1592,1342,227,23,,,,197,,,,6,7.01,7.01,3.58,14.26%,25.11%,31.98%,21.07%,,,,
19-Mar,82,,,309,269,87.06%,4,15,4.85%,37.50%,6,25,8.09%,62.50%,,,,1898,1898,1570,309,19,,,,287,,,,7,6.14,6.14,3.5,16.28%,26.45%,36.12%,26.57%,,,,
20-Mar,60,,,369,321,86.99%,1,16,4.34%,33.33%,7,32,8.67%,66.67%,,,,2028,2028,1643,369,18,,,,112,,,,8,5.5,5.5,1.87,18.20%,45.80%,19.42%,29.88%,,,,
21-Mar,81,,,450,392,87.11%,4,20,4.44%,34.48%,6,38,8.44%,65.52%,,,,2365,2365,1895,450,20,,,,317,,,,9,5.26,5.26,3.91,19.03%,24.18%,21.95%,31.58%,,,,
22-Mar,64,,,514,437,85.02%,9,29,5.64%,37.66%,10,48,9.34%,62.34%,,,,2438,2438,1904,514,20,,,,53,,,,9,4.74,4.74,0.83,21.08%,87.67%,14.22%,36.56%,,,,
23-Mar,65,,,579,500,86.36%,1,30,5.18%,37.97%,1,49,8.46%,62.03%,,,,2756,2756,2177,579,0,,,,318,,,,10,4.76,4.76,4.89,21.01%,19.23%,12.65%,31.70%,,,,
24-Mar,106,,,685,600,87.59%,0,30,4.38%,35.29%,6,55,8.03%,64.71%,,,,3332,3332,2625,685,22,,,,554,,,,12,4.86,4.86,5.23,20.56%,19.13%,18.31%,27.91%,,,,
25-Mar,105,,,790,701,88.73%,1,31,3.92%,34.83%,3,58,7.34%,65.17%,,,,3822,3822,3032,790,0,,,,490,,,,14,4.84,4.84,4.67,20.67%,20.51%,15.33%,26.42%,,,,
26-Mar,103,,,893,780,87.35%,4,35,3.92%,30.97%,20,78,8.73%,69.03%,,,,4336,4336,3443,893,0,,,,514,,,,16,4.86,4.86,4.99,20.60%,20.04%,13.04%,24.77%,,,,
27-Mar,153,,,1046,913,87.28%,11,46,4.40%,34.59%,9,87,8.32%,65.41%,,,,5775,5775,4729,1046,0,,,,1439,,,,21,5.52,5.52,9.41,18.11%,10.63%,17.13%,18.37%,,,,
28-Mar,109,,,1155,994,86.06%,13,59,5.11%,36.65%,15,102,8.83%,63.35%,,,,6266,6266,5111,1155,0,,,,491,,,,23,5.43,5.43,4.5,18.43%,22.20%,10.42%,18.27%,,,,
29-Mar,130,,,1285,1107,86.15%,5,64,4.98%,35.96%,12,114,8.87%,64.04%,,,,6534,6534,5249,1285,0,,,,268,,,,24,5.08,5.08,2.06,19.67%,48.51%,11.26%,18.92%,,,,
30-Mar,129,,,1414,1217,86.07%,11,75,5.30%,38.07%,8,122,8.63%,61.93%,,,,6663,6663,5249,1414,0,,,,129,,,,25,4.71,4.71,1,21.22%,100.00%,10.04%,21.49%,,,,
31-Mar,114,,,1528,1311,85.80%,6,81,5.30%,37.33%,14,136,8.90%,62.67%,,,,6777,6777,5249,1528,0,,,,114,,,,25,4.44,4.44,1,22.55%,100.00%,8.06%,24.47%,,,,
1-Apr,149,,,1677,1417,84.50%,22,103,6.14%,39.62%,21,157,9.36%,60.38%,,,,7193,7193,5516,1677,0,,,,416,,,,27,4.29,4.29,2.79,23.31%,35.82%,9.75%,26.31%,,,,
2-Apr,113,,,1790,1508,84.25%,9,112,6.26%,39.72%,13,170,9.50%,60.28%,,,,7425,7425,5635,1790,0,,,,232,,,,28,4.15,4.15,2.05,24.11%,48.71%,6.74%,29.04%,,,,
3-Apr,196,,,1986,1671,84.14%,22,134,6.75%,42.54%,11,181,9.11%,57.46%,,,,7986,7986,5715,1986,285,,,,561,,,,30,4.02,4.02,2.86,24.87%,71.01%,10.95%,42.51%,,,,
